50,"2021-04-29,19:15",23.08,86.16,-,-,-,0,85.00,-
50,"2021-04-29,19:30",23.02,87.12,-,-,-,0,85.00,-
50,"2021-04-29,20:15",22.48,90.56,-,-,-,0,85.00,-
50,"2021-04-29,20:30",,90.28,-,-,-,0,85.00,-
50,"2021-04-29,21:15",21.98,91.61,-,-,-,0,23.38,-
50,"2021-04-29,22:15",22.01,91.19,-,-,-,0,23.19,-
50,"2021-04-29,22:30",22.06,90.93,-,-,-,0,23.13,-
50,"2021-04-29,23:15",18.14,98.13,-,-,-,0,22.19,-
50,"2021-04-29,23:30",17.98,98.15,-,-,-,0,21.25,-
50,"2021-04-30,00:15",17.99,98.15,-,-,-,0,20.06,-
50,"2021-04-30,00:30",18.21,98.13,-,-,-,0,20.06,-
50,"2021-04-30,01:15",18.37,97.69,-,-,-,0,20.38,-
50,"2021-04-30,01:30",18.62,97.84,-,-,-,0,20.44,-
50,"2021-04-30,01:45",18.79,97.96,-,-,-,0,20.50,-
50,"2021-04-30,02:15",19.18,97.47,-,-,-,0,20.63,-
50,"2021-04-30,03:15",18.88,96.01,-,-,-,0,20.75,-
50,"2021-04-30,04:15",18.81,95.58,-,-,-,0,20.81,-
50,"2021-04-30,05:15",18.37,98.36,-,-,-,0,20.81,-
50,"2021-04-30,06:15",18.43,98.47,-,-,-,0,20.75,-
50,"2021-04-30,07:30",18.70,97.72,-,-,-,0,20.75,-
50,"2021-04-30,07:45",18.83,97.90,-,-,-,0,20.75,-
50,"2021-04-30,08:15",19.61,96.63,-,-,-,0,85.00,-
50,"2021-04-30,08:30",19.65,96.42,-,-,-,0,85.00,-
50,"2021-04-30,09:15",22.06,89.34,-,-,-,0,127.94,-
50,"2021-04-30,09:30",21.70,86.64,-,-,-,0,127.94,-
50,"2021-04-30,10:15",25.28,77.72,-,-,-,0,127.94,-
50,"2021-04-30,10:30",24.98,76.41,-,-,-,0,127.94,-
50,"2021-04-30,11:15",25.72,71.03,-,-,-,0,127.94,-
50,"2021-04-30,11:30",25.81,70.41,-,-,-,0,127.94,-
50,"2021-04-30,12:15",25.99,68.99,-,-,-,0,127.94,-
50,"2021-04-30,13:15",28.95,59.67,-,-,-,0,127.94,-
50,"2021-04-30,13:30",27.22,62.47,-,-,-,0,127.94,-
50,"2021-04-30,14:15",27.47,60.69,-,-,-,0,127.94,-
50,"2021-04-30,15:15",29.57,58.45,-,-,-,0,85.00,-
50,"2021-04-30,16:15",28.10,64.37,-,-,-,0,127.94,-
50,"2021-04-30,16:30",27.43,66.07,-,-,-,0,127.94,-
50,"2021-04-30,17:15",26.68,71.44,-,-,-,0,127.94,-
50,"2021-04-30,17:30",26.13,74.76,-,-,-,0,127.94,-
50,"2021-04-30,18:15",25.06,77.38,-,-,-,0,127.94,-
50,"2021-04-30,18:30",24.85,77.98,-,-,-,0,127.94,-
50,"2021-04-30,19:15",23.95,81.52,-,-,-,0,85.00,-
50,"2021-04-30,19:30",23.81,82.04,-,-,-,0,85.00,-
50,"2021-04-30,20:15",23.27,85.03,-,-,-,0,24.19,-
50,"2021-04-30,21:15",21.09,97.49,-,-,-,0,23.69,-
50,"2021-04-30,21:30",20.90,97.50,-,-,-,0,23.56,-
50,"2021-04-30,23:00",20.47,98.87,-,-,-,0,23.00,-
50,"2021-04-30,23:15",20.33,99.18,-,-,-,0,22.94,-
50,"2021-04-30,23:30",20.28,99.27,-,-,-,0,22.88,-
50,"2021-05-01,00:15",20.16,99.03,-,-,-,0,22.69,-
50,"2021-05-01,01:15",20.07,99.05,-,-,-,0,22.56,-
50,"2021-05-01,02:15",20.00,98.16,-,-,-,0,22.44,-
50,"2021-05-01,03:15",20.24,89.99,-,-,-,0,22.31,-
50,"2021-05-01,04:15",20.16,87.11,-,-,-,0,22.13,-
50,"2021-05-01,05:15",20.27,90.51,-,-,-,0,22.00,-
50,"2021-05-01,05:30",20.31,90.21,-,-,-,0,22.00,-
50,"2021-05-01,06:15",19.32,96.78,-,-,-,0,21.94,-
50,"2021-05-01,06:30",19.28,97.15,-,-,-,0,21.94,-
50,"2021-05-01,07:15",19.53,96.92,-,-,-,0,21.88,-
50,"2021-05-01,08:15",20.49,93.18,-,-,-,0,21.88,-
50,"2021-05-01,09:30",22.83,85.05,-,-,-,0,22.13,-
50,"2021-05-01,09:45",22.73,87.05,-,-,-,0,22.25,-
50,"2021-05-01,10:15",24.16,81.91,-,-,-,0,127.94,-
50,"2021-05-01,11:15",25.71,70.01,-,-,-,0,127.94,-
50,"2021-05-01,11:30",26.08,70.71,-,-,-,0,127.94,-
50,"2021-05-01,12:15",33.00,74.09,-,-,-,0,127.94,-
50,"2021-05-01,12:30",26.79,73.06,-,-,-,0,127.94,-
50,"2021-05-01,13:15",26.10,77.29,-,-,-,0,127.94,-
50,"2021-05-01,13:30",26.73,74.40,-,-,-,0,127.94,-
50,"2021-05-01,14:15",26.79,74.98,-,-,-,0,127.94,-
50,"2021-05-01,14:30",25.99,77.11,-,-,-,0,127.94,-
50,"2021-05-01,15:15",26.69,75.37,-,-,-,0,127.94,-
50,"2021-05-01,16:15",26.72,73.81,-,-,-,0,127.94,-
50,"2021-05-01,16:30",26.58,75.22,-,-,-,0,127.94,-
50,"2021-05-01,17:15",26.84,73.32,-,-,-,0,127.94,-
50,"2021-05-01,18:15",24.80,77.56,-,-,-,0,127.94,-
50,"2021-05-01,18:30",24.,77.37,-,-,-,0,127.94,-
50,"2021-05-01,19:15",23.18,82.36,-,-,-,0,85.00,-
50,"2021-05-01,20:15",21.60,87.83,-,-,-,0,85.00,-
50,"2021-05-01,20:30",21.51,88.74,-,-,-,0,85.00,-
50,"2021-05-01,21:15",20.68,93.89,-,-,-,0,23.38,-
50,"2021-05-01,22:15",20.47,94.42,-,-,-,0,85.00,-
50,"2021-05-01,23:15",20.49,92.28,-,-,-,0,85.00,-
50,"2021-05-01,23:30",20.90,91.19,-,-,-,0,85.00,-
50,"2021-05-02,01:15",20.49,91.25,-,-,-,0,85.00,-
50,"2021-05-02,01:30",20.51,90.37,-,-,-,0,85.00,-
50,"2021-05-02,01:45",20.66,90.20,-,-,-,0,85.00,-
50,"2021-05-02,02:15",20.49,91.28,-,-,-,0,22.13,-
50,"2021-05-02,02:30",20.58,90.25,-,-,-,0,22.13,-
50,"2021-05-02,02:45",20.59,90.64,-,-,-,0,22.19,-
50,"2021-05-02,03:15",20.40,91.24,-,-,-,0,22.13,-
50,"2021-05-02,04:30",20.49,88.39,-,-,-,0,21.88,-
50,"2021-05-02,04:45",20.49,88.09,-,-,-,0,21.88,-
50,"2021-05-02,05:30",20.47,87.54,-,-,-,0,21.81,-
50,"2021-05-02,05:45",19.56,90.62,-,-,-,0,21.75,-
50,"2021-05-02,06:15",19.36,92.66,-,-,-,0,21.69,-
50,"2021-05-02,07:15",20.49,88.28,-,-,-,0,21.63,-
50,"2021-05-02,07:30",20.49,88.47,-,-,-,0,21.69,-
50,"2021-05-02,08:15",19.68,95.86,-,-,-,0,21.69,-
50,"2021-05-02,09:15",21.24,89.65,-,-,-,0,21.94,-
50,"2021-05-02,09:30",21.24,89.51,-,-,-,0,22.00,-
50,"2021-05-02,10:30",22.10,90.54,-,-,-,0,22.31,-
50,"2021-05-02,10:45",22.72,87.35,-,-,-,0,22.44,-
50,"2021-05-02,11:15",24.29,81.92,-,-,-,0,85.00,-
50,"2021-05-02,12:15",26.41,70.18,-,-,-,0,127.94,-
50,"2021-05-02,13:15",26.78,66.42,-,-,-,0,127.94,-
50,"2021-05-02,14:15",27.20,66.49,-,-,-,0,127.94,-
50,"2021-05-02,15:15",27.66,66.31,-,-,-,0,127.94,-
50,"2021-05-02,16:15",27.20,67.69,-,-,-,0,127.94,-
50,"2021-05-02,16:30",26.63,68.13,-,-,-,0,127.94,-
50,"2021-05-02,17:15",27.00,65.29,-,-,-,0,127.94,-
50,"2021-05-02,18:15",24.89,72.67,-,-,-,0,127.94,-
50,"2021-05-02,18:30",24.62,73.53,-,-,-,0,127.94,-
50,"2021-05-02,19:15",22.87,85.05,-,-,-,0,85.00,-
50,"2021-05-02,19:30",22.73,85.84,-,-,-,0,85.00,-
50,"2021-05-02,20:45",21.20,92.24,-,-,-,0,23.69,-
50,"2021-05-02,21:00",20.79,94.83,-,-,-,0,23.63,-
50,"2021-05-02,21:15",21.11,94.39,-,-,-,0,23.50,-
50,"2021-05-02,21:30",21.11,93.71,-,-,-,0,23.44,-
50,"2021-05-02,22:15",21.16,92.11,-,-,-,0,23.25,-
50,"2021-05-02,22:30",20.49,93.58,-,-,-,0,23.25,-
50,"2021-05-02,22:45",-,93.85,-,-,-,0,23.19,-
50,"2021-05-02,23:30",20.62,95.21,-,-,-,0,23.06,-
50,"2021-05-02,23:45",20.79,95.39,-,-,-,0,23.00,-
50,"2021-05-03,00:15",20.83,94.43,-,-,-,0,23.00,-
50,"2021-05-03,00:30",20.73,96.65,-,-,-,0,23.00,-
50,"2021-05-03,00:45",20.79,96.55,-,-,-,0,22.94,-
50,"2021-05-03,01:30",21.07,93.11,-,-,-,0,22.94,-
50,"2021-05-03,02:15",20.78,96.98,-,-,-,0,22.88,-
50,"2021-05-03,02:30",20.80,97.11,-,-,-,0,22.88,-
50,"2021-05-03,03:15",21.06,96.63,-,-,-,0,22.81,-
50,"2021-05-03,04:30",21.37,96.65,-,-,-,0,22.81,-
50,"2021-05-03,04:45",21.34,96.71,-,-,-,0,22.75,-
50,"2021-05-03,05:15",20.26,98.71,-,-,-,0,22.75,-
50,"2021-05-03,06:15",19.52,94.23,-,-,-,0,22.44,-
50,"2021-05-03,06:30",19.62,93.11,-,-,-,0,22.44,-
50,"2021-05-03,07:15",20.14,96.49,-,-,-,0,22.38,-
50,"2021-05-03,07:30",20.16,96.39,-,-,-,0,22.38,-
50,"2021-05-03,08:15",20.86,94.33,-,-,-,0,22.44,-
50,"2021-05-03,09:15",21.40,91.63,-,-,-,0,22.63,-
50,"2021-05-03,10:15",22.81,85.33,-,-,-,0,23.06,-
50,"2021-05-03,11:15",22.82,83.43,-,-,-,0,23.44,-
50,"2021-05-03,11:30",23.05,82.77,-,-,-,0,23.44,-
50,"2021-05-03,12:15",24.31,79.67,-,-,-,0,85.00,-
50,"2021-05-03,12:30",24.66,80.57,-,-,-,0,85.00,-
50,"2021-05-03,13:15",26.39,75.02,-,-,-,0,85.00,-
50,"2021-05-03,14:15",25.25,77.64,-,-,-,0,85.00,-
50,"2021-05-03,15:15",27.00,72.32,-,-,-,0,85.00,-
50,"2021-05-03,15:30",26.07,71.49,-,-,-,0,127.94,-
50,"2021-05-03,16:15",25.82,68.38,-,-,-,0,127.94,-
50,"2021-05-03,16:30",25.75,73.58,-,-,-,0,127.94,-
50,"2021-05-03,17:15",26.10,71.93,-,-,-,0,127.94,-
50,"2021-05-03,17:30",26.32,72.31,-,-,-,0,127.94,-
50,"2021-05-03,18:15",24.85,75.73,-,-,-,0,85.00,-
50,"2021-05-03,19:15",22.43,87.31,-,-,-,0,24.50,-
50,"2021-05-03,20:15",22.12,89.21,-,-,-,0,24.00,-
50,"2021-05-03,21:15",21.92,93.78,-,-,-,0,23.81,-
50,"2021-05-03,22:15",21.61,96.55,-,-,-,0,23.63,-
50,"2021-05-03,22:30",21.57,96.89,-,-,-,0,23.63,-
50,"2021-05-03,23:15",21.27,96.04,-,-,-,0,23.44,-
50,"2021-05-03,23:30",21.07,92.46,-,-,-,0,23.44,-
50,"2021-05-03,23:45",21.10,91.77,-,-,-,0,23.38,-
50,"2021-05-04,00:15",21.59,90.56,-,-,-,0,23.31,-
50,"2021-05-04,00:30",21.75,89.27,-,-,-,0,23.31,-
50,"2021-05-04,02:15",21.36,93.69,-,-,-,0,23.06,-
50,"2021-05-04,02:30",21.33,93.76,-,-,-,0,23.06,-
50,"2021-05-04,03:15",20.88,94.21,-,-,-,0,22.94,-
50,"2021-05-04,04:15",21.08,92.41,-,-,-,0,22.81,-
50,"2021-05-04,05:15",20.49,94.35,-,-,-,0,22.75,-
50,"2021-05-04,05:30",20.49,94.75,-,-,-,0,22.75,-
50,"2021-05-04,06:15",20.11,96.48,-,-,-,0,22.56,-
50,"2021-05-04,06:30",19.86,96.27,-,-,-,0,22.56,-
50,"2021-05-04,07:15",20.01,97.00,-,-,-,0,22.50,-
50,"2021-05-04,07:30",20.78,94.49,-,-,-,0,22.50,-
50,"2021-05-04,08:15",22.46,86.28,-,-,-,0,22.63,-
50,"2021-05-04,08:45",23.97,77.35,-,-,-,0,23.00,-
50,"2021-05-04,09:00",24.72,77.52,-,-,-,0,23.13,-
50,"2021-05-04,10:00",25.20,77.53,-,-,-,0,127.94,-
50,"2021-05-04,10:30",25.62,71.96,-,-,-,0,127.94,-
50,"2021-05-04,11:15",26.55,67.44,-,-,-,0,127.94,-
50,"2021-05-04,11:30",26.36,63.45,-,-,-,0,127.94,-
50,"2021-05-04,12:15",26.05,68.72,-,-,-,0,127.94,-
50,"2021-05-04,12:30",26.52,69.00,-,-,-,0,127.94,-
50,"2021-05-04,13:30",27.42,62.76,-,-,-,0,127.94,-
50,"2021-05-04,14:30",27.94,59.25,-,-,-,0,85.00,-
50,"2021-05-04,15:15",29.50,74.99,-,-,-,0,127.94,-
50,"2021-05-04,16:15",26.31,66.92,-,-,-,0,127.94,-
50,"2021-05-04,16:30",24.99,70.08,-,-,-,0,127.94,-
50,"2021-05-04,16:45",24.55,71.19,-,-,-,0,127.94,-
50,"2021-05-04,17:15",26.27,69.26,-,-,-,0,127.94,-
50,"2021-05-04,17:30",25.99,69.49,-,-,-,0,127.94,-
50,"2021-05-04,18:15",24.35,76.36,-,-,-,0,127.94,-
50,"2021-05-04,19:15",22.47,84.84,-,-,-,0,24.69,-
50,"2021-05-04,20:15",22.33,90.20,-,-,-,0,24.19,-
50,"2021-05-04,20:30",22.39,90.31,-,-,-,0,24.19,-
50,"2021-05-04,21:45",21.65,94.52,-,-,-,0,23.75,-
50,"2021-05-04,22:00",21.59,94.79,-,-,-,0,23.69,-
50,"2021-05-04,22:15",21.20,96.68,-,-,-,0,23.56,-
50,"2021-05-04,22:30",21.14,96.11,-,-,-,0,23.50,-
50,"2021-05-04,22:45",20.75,97.11,-,-,-,0,23.44,-
50,"2021-05-04,23:30",21.07,97.19,-,-,-,0,23.31,-
50,"2021-05-05,00:30",21.24,96.07,-,-,-,0,23.31,-
50,"2021-05-05,01:15",21.02,96.63,-,-,-,0,23.25,-
50,"2021-05-05,03:15",20.76,97.69,-,-,-,0,23.06,-
50,"2021-05-05,03:30",20.88,95.29,-,-,-,0,23.06,-
50,"2021-05-05,03:45",20.81,95.08,-,-,-,0,23.06,-
50,"2021-05-05,04:15",20.59,95.82,-,-,-,0,23.00,-
50,"2021-05-05,05:15",20.47,95.10,-,-,-,0,22.94,-
50,"2021-05-05,06:15",20.01,96.45,-,-,-,"2021-05-05,06:05:57",22.81,-
50,"2021-05-05,07:15",20.47,92.95,-,-,-,"2021-05-05,07:00:12",22.75,-
50,"2021-05-05,08:15",23.23,84.30,-,-,-,"2021-05-05,08:05:11",22.88,-
50,"2021-05-05,09:15",23.99,80.40,-,-,-,jja-gnd,23.25,-
50,"2021-05-05,09:30",23.87,83.87,-,-,-,jja-gnd,23.38,-
50,"2021-05-05,09:45",24.53,81.37,-,-,-,0,85.00,-
50,"2021-05-05,10:15",27.20,75.08,-,-,-,"2021-05-05,10:14:11",127.94,-
50,"2021-05-05,10:30",25.99,78.08,-,-,-,jja-gnd,127.94,-
50,"2021-05-05,11:15",24.26,77.61,-,-,-,0,127.94,-
50,"2021-05-05,11:30",23.55,80.80,-,-,-,0,127.94,-
50,"2021-05-05,12:15",23.80,80.61,-,-,-,0,127.94,-
50,"2021-05-05,12:30",25.14,78.44,-,-,-,0,127.94,-
50,"2021-05-05,13:30",26.52,74.86,-,-,-,0,85.00,-
50,"2021-05-05,15:15",25.87,74.54,-,-,-,0,127.94,-
50,"2021-05-05,16:15",27.47,64.82,-,-,-,0,127.94,-
50,"2021-05-05,17:15",27.41,67.00,-,-,-,0,127.94,-
50,"2021-05-05,18:15",25.54,72.24,-,-,-,0,127.94,-
50,"2021-05-05,19:45",23.10,83.91,-,-,-,0,24.50,-
50,"2021-05-05,20:15",22.95,84.00,-,-,-,0,24.38,-
50,"2021-05-05,20:30",22.71,83.20,-,-,-,0,24.31,-
50,"2021-05-05,21:30",22.03,88.17,-,-,-,0,24.13,-
50,"2021-05-05,22:15",21.54,89.83,-,-,-,0,24.00,-
50,"2021-05-05,23:15",21.03,91.13,-,-,-,0,23.75,-
50,"2021-05-05,23:30",20.74,91.53,-,-,-,0,23.75,-
50,"2021-05-06,01:15",20.37,-,-,-,-,0,23.38,-
50,"2021-05-06,02:15",19.75,-,-,-,-,0,23.13,-
50,"2021-05-06,02:30",19.66,97.00,-,-,-,0,23.13,-
50,"2021-05-06,03:15",19.73,96.63,-,-,-,0,23.06,-
50,"2021-05-06,05:15",18.93,97.12,-,-,-,0,22.81,-
50,"2021-05-06,05:30",18.99,95.46,-,-,-,0,22.81,-
50,"2021-05-06,06:15",19.21,94.20,-,-,-,0,22.69,-
50,"2021-05-06,06:30",19.08,96.35,-,-,-,jja-gnd,22.69,-
50,"2021-05-06,06:45",19.00,96.81,-,-,-,jja-gnd,22.69,-
50,"2021-05-06,07:15",18.92,97.76,-,-,-,0,22.63,-
50,"2021-05-06,08:15",20.31,95.55,-,-,-,0,22.69,-
50,"2021-05-06,08:30",20.49,95.43,-,-,-,0,22.75,-
50,"2021-05-06,10:15",23.50,87.51,-,-,-,0,85.00,-
50,"2021-05-06,10:30",24.16,86.92,-,-,-,0,85.00,-
50,"2021-05-06,11:15",26.38,71.41,-,-,-,0,127.94,-
50,"2021-05-06,11:30",26.34,71.59,-,-,-,0,127.94,-
50,"2021-05-06,12:15",24.94,76.51,-,-,-,0,127.94,-
50,"2021-05-06,12:30",25.99,74.84,-,-,-,0,127.94,-
50,"2021-05-06,13:30",25.13,77.06,-,-,-,0,127.94,-
50,"2021-05-06,13:45",25.13,76.29,-,-,-,0,127.94,-
50,"2021-05-06,14:15",25.17,76.37,-,-,-,0,127.94,-
50,"2021-05-06,15:15",21.92,92.56,-,-,-,0,24.25,-
50,"2021-05-06,15:30",22.37,92.97,-,-,-,0,24.25,-
50,"2021-05-06,16:15",20.88,95.29,-,-,-,0,24.25,-
50,"2021-05-06,17:15",21.47,96.71,-,-,-,0,85.00,-
50,"2021-05-06,18:00",22.00,-,-,-,-,0,85.00,-
50,"2021-05-06,18:45",23.00,-,-,-,-,0,85.00,-
50,"2021-05-06,19:15",21.11,96.20,-,-,-,0,85.00,-
50,"2021-05-06,20:15",20.99,96.82,-,-,-,0,85.00,-
50,"2021-05-06,20:30",20.94,96.94,-,-,-,0,85.00,-
50,"2021-05-06,21:15",20.69,97.81,-,-,-,0,85.00,-
50,"2021-05-06,21:30",20.66,98.10,-,-,-,0,85.00,-
50,"2021-05-06,22:15",20.49,98.03,-,-,-,0,85.00,-
50,"2021-05-06,22:30",20.43,98.29,-,-,-,0,85.00,-
50,"2021-05-06,23:30",20.76,96.28,-,-,-,0,85.00,-
50,"2021-05-07,00:30",19.97,99.26,-,-,-,0,85.00,-
50,"2021-05-07,01:15",20.47,99.06,-,-,-,0,85.00,-
50,"2021-05-07,02:15",20.77,98.49,-,-,-,0,85.00,-
50,"2021-05-07,03:30",18.05,98.90,-,-,-,0,20.44,-
50,"2021-05-07,03:45",18.05,98.,-,-,-,0,20.50,-
50,"2021-05-07,04:15",18.12,98.23,-,-,-,0,85.00,-
50,"2021-05-07,04:30",18.14,98.13,-,-,-,0,85.00,-
50,"2021-05-07,05:15",18.36,97.63,-,-,-,0,85.00,-
50,"2021-05-07,05:30",18.25,97.57,-,-,-,0,85.00,-
50,"2021-05-07,06:15",18.15,97.28,-,-,-,0,85.00,-
50,"2021-05-07,06:30",18.13,97.28,-,-,-,0,85.00,-
50,"2021-05-07,07:15",17.97,97.39,-,-,-,0,85.00,-
50,"2021-05-07,07:30",18.04,97.55,-,-,-,0,85.00,-
50,"2021-05-07,08:15",18.44,97.71,-,-,-,0,20.88,-
50,"2021-05-07,08:30",18.77,98.23,-,-,-,0,20.94,-
50,"2021-05-07,09:15",21.50,90.34,-,-,-,0,21.25,-
50,"2021-05-07,09:30",21.91,89.32,-,-,-,0,21.31,-
50,"2021-05-07,10:15",24.41,81.10,-,-,-,0,22.06,-
50,"2021-05-07,10:30",24.12,76.18,-,-,-,0,22.25,-
50,"2021-05-07,11:15",25.79,73.55,-,-,-,0,127.94,-
50,"2021-05-07,12:15",25.64,69.70,-,-,-,0,127.94,-
50,"2021-05-07,13:15",22.61,84.42,-,-,-,0,23.38,-
50,"2021-05-07,13:30",23.49,81.14,-,-,-,0,23.38,-
50,"2021-05-07,15:15",26.16,66.98,-,-,-,0,23.88,-
50,"2021-05-07,16:15",25.74,64.73,-,-,-,0,24.13,-
50,"2021-05-07,17:15",24.41,70.74,-,-,-,0,23.94,-
50,"2021-05-07,17:30",24.14,72.46,-,-,-,0,23.88,-
50,"2021-05-07,18:15",23.29,76.63,-,-,-,0,23.69,-
50,"2021-05-07,18:30",22.37,82.52,-,-,-,0,23.56,-
50,"2021-05-07,18:45",22.18,84.08,-,-,-,0,23.56,-
50,"2021-05-07,19:30",20.62,89.50,-,-,-,0,23.06,-
50,"2021-05-07,20:30",20.19,92.61,-,-,-,0,22.63,-
50,"2021-05-07,21:15",19.62,96.94,-,-,-,0,22.50,-
50,"2021-05-07,22:15",19.68,95.71,-,-,-,0,22.25,-
50,"2021-05-07,23:15",19.35,97.79,-,-,-,0,22.13,-
50,"2021-05-08,00:15",20.09,-,-,-,-,0,22.06,-
50,"2021-05-08,00:30",20.12,96.75,-,-,-,0,22.06,-
50,"2021-05-08,01:30",20.47,96.10,-,-,-,0,22.00,-
50,"2021-05-08,01:45",19.86,97.81,-,-,-,0,22.06,-
50,"2021-05-08,02:15",20.11,96.48,-,-,-,0,22.06,-
50,"2021-05-08,03:30",19.25,98.34,-,-,-,0,21.88,-
50,"2021-05-08,03:45",19.15,98.42,-,-,-,0,21.81,-
50,"2021-05-08,04:00",19.11,98.42,-,-,-,0,21.81,-
50,"2021-05-08,04:15",18.41,98.96,-,-,-,0,21.69,-
50,"2021-05-08,04:30",18.43,99.02,-,-,-,0,21.69,-
50,"2021-05-08,05:15",19.18,97.26,-,-,-,0,21.63,-
50,"2021-05-08,06:15",19.13,97.74,-,-,-,0,21.50,-
50,"2021-05-08,06:30",19.13,97.68,-,-,-,0,21.50,-
50,"2021-05-08,07:15",19.22,98.35,-,-,-,0,21.56,-
50,"2021-05-08,07:30",19.25,98.28,-,-,-,0,21.56,-
50,"2021-05-08,08:30",20.18,95.33,-,-,-,0,21.75,-
50,"2021-05-08,08:45",20.24,95.63,-,-,-,0,21.75,-
50,"2021-05-08,09:15",20.75,95.42,-,-,-,0,21.81,-
50,"2021-05-08,09:30",20.59,94.93,-,-,-,0,21.88,-
50,"2021-05-08,09:45",20.61,94.56,-,-,-,0,21.94,-
50,"2021-05-08,10:15",21.47,91.32,-,-,-,0,85.00,-
50,"2021-05-08,10:30",21.93,90.60,-,-,-,0,85.00,-
50,"2021-05-08,10:45",22.16,90.93,-,-,-,0,85.00,-
50,"2021-05-08,11:15",22.69,87.27,-,-,-,0,85.00,-
50,"2021-05-08,12:15",25.05,74.25,-,-,-,0,127.94,-
50,"2021-05-08,13:15",25.35,73.56,-,-,-,0,127.94,-
50,"2021-05-08,14:15",27.30,68.47,-,-,-,0,127.94,-
50,"2021-05-08,15:15",25.63,80.14,-,-,-,0,127.94,-
50,"2021-05-08,16:15",25.81,74.67,-,-,-,0,127.94,-
50,"2021-05-08,17:15",22.80,88.61,-,-,-,0,24.81,-
50,"2021-05-08,18:15",19.81,97.9,-,-,-,0,21.81,-
50,"2021-05-08,18:30",19.79,97.90,-,-,-,0,22.00,-
50,"2021-05-08,18:45",19.76,97.85,-,-,-,0,21.94,-
50,"2021-05-08,19:15",19.97,98.19,-,-,-,0,22.06,-
50,"2021-05-08,20:15",20.25,95.51,-,-,-,0,22.06,-
50,"2021-05-08,21:15",20.00,97.36,-,-,-,0,22.06,-
50,"2021-05-08,22:15",19.69,98.55,-,-,-,0,22.00,-
50,"2021-05-08,22:30",19.72,98.40,-,-,-,0,22.00,-
50,"2021-05-08,23:15",19.18,99.36,-,-,-,0,21.88,-
50,"2021-05-09,00:15",19.18,99.39,-,-,-,0,21.81,-
50,"2021-05-09,00:30",19.23,99.30,-,-,-,0,21.81,-
50,"2021-05-09,00:45",19.16,99.42,-,-,-,0,21.81,-
50,"2021-05-09,01:00",19.16,99.42,-,-,-,0,21.81,-
50,"2021-05-09,01:15",19.17,99.42,-,-,-,0,21.75,-
50,"2021-05-09,01:30",19.21,99.42,-,-,-,0,21.75,-
50,"2021-05-09,02:15",19.16,99.42,-,-,-,0,21.75,-
50,"2021-05-09,02:30",19.10,99.48,-,-,-,0,21.75,-
50,"2021-05-09,03:15",19.37,99.00,-,-,-,0,21.69,-
