STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
48,"2021-04-03,17:30",33.93,60.74,0.031313,-,378.113,0,85.00,890.31
48,"2021-04-03,19:45",24.57,77.01,0.000000,-,378.104,0,85.00,891.66
48,"2021-04-03,20:30",24.10,79.72,0.000000,-,376.19,0,-,892.19
48,"2021-04-03,20:45",24.28,79.70,0.000000,-,378.086,0,85.00,892.36
48,"2021-04-03,21:30",24.56,78.11,0.000016,-,378.077,0,85.00,892.85
48,"2021-04-03,22:45",23.92,81.67,-,-,-,-,85.00,893.13
48,"2021-04-04,01:15",23.00,86.61,-,-,-,0,85.00,892.85
48,"2021-04-04,01:30",22.83,88.36,-,-,-,0,85.00,892.79
48,"2021-04-04,02:30",21.58,89.99,-,-,-,0,85.00,892.23
48,"2021-04-04,02:45",21.30,85.74,-,-,-,0,85.00,892.0
48,"2021-04-04,03:45",20.95,87.26,-,-,-,0,85.00,891.77
48,"2021-04-04,4:00",20.93,87.70,-,-,-,0,85.00,891.82
48,"2021-04-04,03:45",20.95,87.26,-,-,-,0,85.00,891.77
48,"2021-04-04,4:00",20.93,87.70,-,-,-,0,85.00,891.82
48,"2021-04-04,03:45",20.95,87.26,-,-,-,0,85.00,891.77
48,"2021-04-04,4:00",20.93,87.70,-,-,-,0,85.00,891.82
48,"2021-04-04,03:45",20.95,87.26,-,-,-,0,85.00,891.77
48,"2021-04-04,4:00",20.93,87.70,-,-,-,0,85.00,891.82
48,"2021-04-04,05:15",20.68,89.49,-,-,-,0,-,892.08
48,"2021-04-04,05:30",20.88,88.80,-,-,-,0,-,892.31
48,"2021-04-04,07:45",21.32,86.49,-,-,-,0,85.00,893.67
48,"2021-04-04,08:15",21.72,85.05,-,-,-,0,85.00,894.04
48,"2021-04-04,9:00",24.46,78.30,-,-,-,0,85.00,894.01
48,"2021-04-04,08:15",21.72,85.05,-,-,-,0,85.00,894.04
48,"2021-04-04,9:00",24.46,78.30,-,-,-,0,85.00,894.01
48,"2021-04-04,08:15",21.72,85.05,-,-,-,0,85.00,894.04
48,"2021-04-04,9:00",24.46,78.30,-,-,-,0,85.00,894.01
48,"2021-04-04,09:30",25.49,69.64,-,-,-,0,85.00,894.37
48,"2021-04-04,09:45",25.69,-,-,-,-,0,85.00,894.51
48,"2021-04-04,10:15",26.35,65.81,-,-,-,0,85.00,894.7
48,"2021-04-04,10:30",26.85,66.08,-,-,-,0,85.00,894.72
48,"2021-04-04,11:15",27.79,64.49,-,-,-,0,85.00,894.51
48,"2021-04-04,11:30",28.10,60.94,-,-,-,0,85.00,894.37
48,"2021-04-04,12:30",29.70,57.54,0.084704,-,376.078,0,85.00,893.31
48,"2021-04-04,12:45",28.67,61.72,0.088641,-,378.039,0,85.00,893.07
48,"2021-04-04,13:45",29.73,56.77,0.033875,-,378.058,0,85.00,891.68
48,"2021-04-04,14:00",30.72,54.77,0.044250,-,376.098,0,-,891.66
48,"2021-04-04,14:45",28.08,64.91,0.012156,-,83.529,0,-,890.6
48,"2021-04-04,16:15",22.78,92.21,0.015656,-,380.0,0,85.00,890.06
48,"2021-04-04,17:30",-,63.02,0.030625,-,380.0,0,85.00,890.2
48,"2021-04-04,18:30",26.27,73.79,-,-,-,0,85.00,891.36
48,"2021-04-04,18:45",22.36,82.48,-,-,-,0,85.00,891.98
48,"2021-04-04,19:45",20.83,87.32,-,-,-,0,85.00,892.21
48,"2021-04-04,20:00",20.99,88.38,-,-,-,0,85.00,892.24
48,"2021-04-04,21:15",21.58,84.53,-,-,-,0,85.00,893.32
48,"2021-04-04,21:30",21.44,85.57,-,-,-,0,-,893.32
48,"2021-04-04,22:15",20.93,88.29,-,-,-,0,85.00,893.73
48,"2021-04-04,22:30",20.88,89.26,-,-,-,0,85.00,893.88
48,"2021-04-05,00:15",21.13,89.22,-,-,-,0,85.00,893.88
48,"2021-04-05,00:30",20.99,89.76,-,-,-,0,-,893.79
48,"2021-04-05,00:45",20.89,89.96,-,-,-,0,85.00,893.66
48,"2021-04-05,01:30",20.19,90.30,-,-,-,0,85.00,892.73
48,"2021-04-05,01:45",20.22,90.35,-,-,-,0,-,892.46
48,"2021-04-05,2:00",20.27,90.24,-,-,-,0,85.00,892.44
48,"2021-04-05,01:30",20.19,90.30,-,-,-,0,85.00,892.73
48,"2021-04-05,01:45",20.22,90.35,-,-,-,0,-,892.46
48,"2021-04-05,2:00",20.27,90.24,-,-,-,0,85.00,892.44
48,"2021-04-05,01:30",20.19,90.30,-,-,-,0,85.00,892.73
48,"2021-04-05,01:45",20.22,90.35,-,-,-,0,-,892.46
48,"2021-04-05,2:00",20.27,90.24,-,-,-,0,85.00,892.44
48,"2021-04-05,02:45",20.58,88.64,-,-,-,0,85.00,892.32
48,"2021-04-05,03:30",20.47,88.38,-,-,-,0,85.00,892.36
48,"2021-04-05,04:15",19.92,89.79,-,-,-,0,85.00,892.47
48,"2021-04-05,04:30",19.92,89.74,-,-,-,0,85.00,892.47
48,"2021-04-05,05:30",19.20,90.85,-,-,-,0,85.00,892.56
48,"2021-04-05,05:45",19.17,91.07,-,-,-,0,85.00,892.44
48,"2021-04-05,06:45",19.42,90.29,-,-,-,-,85.00,892.64
48,"2021-04-05,7:00",19.57,90.05,-,-,-,0,85.00,892.66
48,"2021-04-05,06:45",19.42,90.29,-,-,-,-,85.00,892.64
48,"2021-04-05,7:00",19.57,90.05,-,-,-,0,85.00,892.66
48,"2021-04-05,06:45",19.42,90.29,-,-,-,-,85.00,892.64
48,"2021-04-05,7:00",19.57,90.05,-,-,-,0,85.00,892.66
48,"2021-04-05,08:15",21.30,86.66,-,-,-,0,85.00,893.78
48,"2021-04-05,09:15",23.62,77.85,-,-,-,0,85.00,894.02
48,"2021-04-05,09:30",25.08,75.20,-,-,-,0,85.00,894.11
48,"2021-04-05,10:30",25.71,65.56,-,-,-,-,85.00,894.48
48,"2021-04-05,10:45",26.39,66.38,-,-,-,0,85.00,894.54
48,"2021-04-05,13:45",29.36,51.08,0.017172,-,378.03,0,85.00,891.78
48,"2021-04-05,15:15",29.88,56.11,0.076985,-,376.078,0,85.00,890.04
48,"2021-04-05,16:15",31.15,50.90,0.053625,-,378.03,0,85.00,889.29
48,"2021-04-05,16:30",31.06,53.39,0.049469,-,376.059,0,85.00,889.25
48,"2021-04-05,17:30",28.84,59.50,-,-,-,0,85.00,889.79
48,"2021-04-05,17:45",26.72,68.51,-,-,-,0,85.00,889.52
48,"2021-04-05,18:45",20.51,89.11,-,-,-,0,85.00,891.51
48,"2021-04-05,19:00",20.61,89.33,-,-,-,0,-,891.52
48,"2021-04-05,19:45",21.08,89.98,-,-,-,0,-,892.65
48,"2021-04-05,20:00",20.95,89.57,-,-,-,0,-,892.63
48,"2021-04-05,22:30",20.30,91.67,-,-,-,0,85.00,894.95
48,"2021-04-05,22:45",20.45,91.70,-,-,-,0,85.00,895.08
48,"2021-04-06,01:15",19.48,92.34,-,-,-,0,85.00,893.95
48,"2021-04-06,01:30",19.53,92.43,-,-,-,0,85.00,893.91
48,"2021-04-06,02:15",19.56,92.34,-,-,-,0,85.00,893.51
48,"2021-04-06,02:30",19.69,92.41,-,-,-,0,85.00,893.4
48,"2021-04-06,02:45",19.65,92.50,-,-,-,0,85.00,893.37
48,"2021-04-06,04:30",19.00,92.16,-,-,-,0,85.00,892.88
48,"2021-04-06,04:45",18.91,92.40,-,-,-,0,85.00,892.84
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,05:30",19.05,91.68,-,-,-,0,-,891.9
48,"2021-04-06,05:45",19.17,91.53,-,-,-,0,85.00,891.83
48,"2021-04-06,6:00",19.31,91.33,-,-,-,0,85.00,891.88
48,"2021-04-06,08:15",22.90,81.14,-,-,-,0,-,893.81
48,"2021-04-06,08:30",23.61,81.21,-,-,-,0,85.00,894.06
48,"2021-04-06,09:30",25.07,75.01,-,-,-,0,-,894.49
48,"2021-04-06,09:45",24.92,77.09,-,-,-,0,85.00,894.54
48,"2021-04-06,10:45",26.93,68.63,-,-,-,0,85.00,894.69
48,"2021-04-06,11:00",26.24,66.57,-,-,-,0,-,894.66
48,"2021-04-06,12:30",27.94,58.58,0.066563,-,378.03,0,85.00,893.93
48,"2021-04-06,13:15",29.79,65.90,0.072001,-,376.098,0,85.00,893.16
48,"2021-04-06,15:30",28.73,65.13,0.055438,-,378.077,0,85.00,890.01
48,"2021-04-06,17:15",29.02,61.70,0.029547,-,378.086,0,85.00,889.69
48,"2021-04-06,17:30",29.30,61.88,0.029063,-,376.19,0,85.00,889.91
48,"2021-04-06,19:15",21.23,87.94,0.000000,-,94.729,0,85.00,891.2
48,"2021-04-06,19:30",21.34,86.74,0.000000,-,378.086,-,85.00,891.22
48,"2021-04-06,20:30",22.20,-,-,-,-,0,85.00,891.58
48,"2021-04-06,20:45",22.08,88.53,-,-,-,0,85.00,891.76
48,"2021-04-06,21:45",21.92,90.04,-,-,-,0,85.00,893.59
48,"2021-04-06,22:00",22.03,88.06,-,-,-,0,85.00,893.82
48,"2021-04-06,23:15",21.52,90.22,-,-,-,0,-,894.9
48,"2021-04-07,01:45",20.74,91.55,-,-,-,0,85.00,893.26
48,"2021-04-07,2:00",20.69,91.75,-,-,-,0,85.00,893.29
48,"2021-04-07,01:45",20.74,91.55,-,-,-,0,85.00,893.26
48,"2021-04-07,2:00",20.69,91.75,-,-,-,0,85.00,893.29
48,"2021-04-07,03:15",20.41,91.62,-,-,-,0,85.00,893.04
48,"2021-04-07,05:30",19.53,92.09,-,-,-,0,85.00,892.76
48,"2021-04-07,05:45",19.51,91.95,-,-,-,0,85.00,892.67
48,"2021-04-07,06:30",19.92,91.90,-,-,-,0,85.00,892.95
48,"2021-04-07,06:45",19.98,92.03,-,-,-,0,85.00,893.08
48,"2021-04-07,07:15",20.42,91.53,-,-,-,0,85.00,893.53
48,"2021-04-07,08:45",24.20,82.42,-,-,-,0,85.00,894.6
48,"2021-04-07,9:00",25.25,83.42,-,-,-,0,85.00,894.66
48,"2021-04-07,08:45",24.20,82.42,-,-,-,0,85.00,894.6
48,"2021-04-07,9:00",25.25,83.42,-,-,-,0,85.00,894.66
48,"2021-04-07,08:45",24.20,82.42,-,-,-,0,85.00,894.6
48,"2021-04-07,9:00",25.25,83.42,-,-,-,0,85.00,894.66
48,"2021-04-07,08:45",24.20,82.42,-,-,-,0,85.00,894.6
48,"2021-04-07,9:00",25.25,83.42,-,-,-,0,85.00,894.66
